omega,tau,firm,demand
1,0.151515,2,0.342508
1,0.161616,1,0.344466
1,0.161616,2,0.338098
1,0.171717,1,0.344
1,0.171717,2,0.339028
1,0.181818,1,0.343098
1,0.181818,2,0.341392
1,0.191919,1,0.34259
1,0.191919,2,0.342809
1,0.20202,1,0.341188
1,0.20202,2,0.339262
1,0.212121,1,0.34075
1,0.212121,2,0.344421
1,0.222222,1,0.342626
1,0.222222,2,0.341607
1,0.232323,1,0.34652
1,0.232323,2,0.337273
1,0.242424,1,0.344142
1,0.242424,2,0.343249
1,0.252525,1,0.341754
1,0.252525,2,0.345152
1,0.262626,1,0.34024
1,0.262626,2,0.342682
1,0.272727,1,0.343182
1,0.272727,2,0.339738
1,0.282828,1,0.337914
1,0.282828,2,0.347044
1,0.292929,1,0.346015
1,0.292929,2,0.342475
1,0.30303,1,0.339679
1,0.30303,2,0.344502
1,0.313131,1,0.348031
1,0.313131,2,0.338948
1,0.323232,1,0.338122
1,0.323232,2,0.342777
1,0.333333,1,0.343315
1,0.333333,2,0.340871
1,0.343434,1,0.336273
1,0.343434,2,0.345087
1,0.353535,1,0.342882
1,0.353535,2,0.343772
1,0.363636,1,0.340063
1,0.363636,2,0.348327
1,0.373737,1,0.345102
1,0.373737,2,0.343075
1,0.383838,1,0.340634
1,0.383838,2,0.347177
1,0.393939,1,0.343092
1,0.393939,2,0.345474
1,0.40404,1,0.350744
1,0.40404,2,0.337956
1,0.414141,1,0.34387
1,0.414141,2,0.345591
1,0.424242,1,0.346454
1,0.424242,2,0.345709
1,0.434343,1,0.350074
1,0.434343,2,0.344596
1,0.444444,1,0.34855
1,0.444444,2,0.343733
1,0.454545,1,0.348217
1,0.454545,2,0.343483
1,0.464646,1,0.345598
1,0.464646,2,0.344853
1,0.474747,1,0.353996
1,0.474747,2,0.345407
1,0.484848,1,0.344695
1,0.484848,2,0.35212
1,0.494949,1,0.3465
1,0.494949,2,0.346039
1,0.505051,1,0.344829
1,0.505051,2,0.345478
1,0.515152,1,0.34754
1,0.515152,2,0.343204
1,0.525253,1,0.354306
1,0.525253,2,0.345959
1,0.535354,1,0.350468
1,0.535354,2,0.34341
1,0.545455,1,0.353668
1,0.545455,2,0.345577
1,0.555556,1,0.351069
1,0.555556,2,0.346549
1,0.565657,1,0.350752
1,0.565657,2,0.349372
1,0.575758,1,0.348993
1,0.575758,2,0.35274
1,0.585859,1,0.34425
