omega,tau,action,Count
0,1,1,0.185478
0,1,2,0.627357
0,1,3,0.0031156
0,1,4,0.184049
0.8,0,1,0.236472
0.8,0,2,0.242042
0.8,0,3,0.243602
0.8,0,4,0.277883
0.8,0.010101,1,0.2576
0.8,0.010101,2,0.250159
0.8,0.010101,3,0.257044
0.8,0.010101,4,0.235196
0.8,0.020202,1,0.252202
0.8,0.020202,2,0.282369
0.8,0.020202,3,0.251057
0.8,0.020202,4,0.214372
0.8,0.030303,1,0.232653
0.8,0.030303,2,0.292239
0.8,0.030303,3,0.2257
0.8,0.030303,4,0.249408
0.8,0.040404,1,0.266923
0.8,0.040404,2,0.255831
0.8,0.040404,3,0.230901
0.8,0.040404,4,0.246346
0.8,0.0505051,1,0.242132
0.8,0.0505051,2,0.302634
0.8,0.0505051,3,0.196277
0.8,0.0505051,4,0.258957
0.8,0.0606061,1,0.257876
0.8,0.0606061,2,0.258838
0.8,0.0606061,3,0.222674
0.8,0.0606061,4,0.260611
0.8,0.0707071,1,0.229028
0.8,0.0707071,2,0.302497
0.8,0.0707071,3,0.226473
0.8,0.0707071,4,0.242001
0.8,0.0808081,1,0.252847
0.8,0.0808081,2,0.309806
0.8,0.0808081,3,0.18364
0.8,0.0808081,4,0.253707
0.8,0.0909091,1,0.228593
0.8,0.0909091,2,0.341667
0.8,0.0909091,3,0.193792
0.8,0.0909091,4,0.235948
0.8,0.10101,1,0.230684
0.8,0.10101,2,0.332443
0.8,0.10101,3,0.207165
0.8,0.10101,4,0.229708
0.8,0.111111,1,0.215072
0.8,0.111111,2,0.338594
0.8,0.111111,3,0.214476
0.8,0.111111,4,0.231858
0.8,0.121212,1,0.234248
0.8,0.121212,2,0.338849
0.8,0.121212,3,0.222718
0.8,0.121212,4,0.204185
0.8,0.131313,1,0.180221
0.8,0.131313,2,0.407106
0.8,0.131313,3,0.21863
0.8,0.131313,4,0.194043
0.8,0.141414,1,0.190342
0.8,0.141414,2,0.445767
0.8,0.141414,3,0.166286
0.8,0.141414,4,0.197605
0.8,0.151515,1,0.186182
0.8,0.151515,2,0.433895
0.8,0.151515,3,0.19152
0.8,0.151515,4,0.188402
0.8,0.161616,1,0.176513
0.8,0.161616,2,0.506456
0.8,0.161616,3,0.142919
0.8,0.161616,4,0.174112
0.8,0.171717,1,0.15728
0.8,0.171717,2,0.502482
0.8,0.171717,3,0.158197
0.8,0.171717,4,0.182042
0.8,0.181818,1,0.194903
0.8,0.181818,2,0.491373
0.8,0.181818,3,0.14808
0.8,0.181818,4,0.165644
0.8,0.191919,1,0.17147
0.8,0.191919,2,0.491202
0.8,0.191919,3,0.177461
0.8,0.191919,4,0.159867
0.8,0.20202,1,0.120923
0.8,0.20202,2,0.577429
0.8,0.20202,3,0.151904
0.8,0.20202,4,0.149744
0.8,0.212121,1,0.139052
0.8,0.212121,2,0.567457
0.8,0.212121,3,0.161243
0.8,0.212121,4,0.132249
0.8,0.222222,1,0.150902
0.8,0.222222,2,0.575297
0.8,0.222222,3,0.123098
0.8,0.222222,4,0.150703
0.8,0.232323,1,0.140089
0.8,0.232323,2,0.547558
0.8,0.232323,3,0.178025
0.8,0.232323,4,0.134327
0.8,0.242424,1,0.116134
0.8,0.242424,2,0.584794
0.8,0.242424,3,0.168988
0.8,0.242424,4,0.130083
0.8,0.252525,1,0.15698
0.8,0.252525,2,0.582052
0.8,0.252525,3,0.129077
0.8,0.252525,4,0.131891
0.8,0.262626,1,0.134454
0.8,0.262626,2,0.609475
0.8,0.262626,3,0.139392
0.8,0.262626,4,0.11668
0.8,0.272727,1,0.161006
0.8,0.272727,2,0.568089
0.8,0.272727,3,0.104474
0.8,0.272727,4,0.166431
0.8,0.282828,1,0.0914696
0.8,0.282828,2,0.73261
0.8,0.282828,3,0.0820859
0.8,0.282828,4,0.0938341
0.8,0.292929,1,0.111677
0.8,0.292929,2,0.665831
0.8,0.292929,3,0.102808
0.8,0.292929,4,0.119684
0.8,0.30303,1,0.130433
0.8,0.30303,2,0.609296
0.8,0.30303,3,0.122435
0.8,0.30303,4,0.137836
0.8,0.313131,1,0.126754
0.8,0.313131,2,0.655575
0.8,0.313131,3,0.0949027
0.8,0.313131,4,0.122768
0.8,0.323232,1,0.0924573
0.8,0.323232,2,0.733283
0.8,0.323232,3,0.0782364
0.8,0.323232,4,0.0960233
0.8,0.333333,1,0.0977103
0.8,0.333333,2,0.708775
0.8,0.333333,3,0.10224
0.8,0.333333,4,0.0912749
0.8,0.343434,1,0.0951425
0.8,0.343434,2,0.738001
0.8,0.343434,3,0.0639392
0.8,0.343434,4,0.102917
0.8,0.353535,1,0.108821
0.8,0.353535,2,0.679724
0.8,0.353535,3,0.0996577
0.8,0.353535,4,0.111797
0.8,0.363636,1,0.11972
0.8,0.363636,2,0.701351
0.8,0.363636,3,0.053082
0.8,0.363636,4,0.125847
0.8,0.373737,1,0.0992117
0.8,0.373737,2,0.72698
0.8,0.373737,3,0.063174
0.8,0.373737,4,0.110635
0.8,0.383838,1,0.0779513
0.8,0.383838,2,0.788912
0.8,0.383838,3,0.0607698
0.8,0.383838,4,0.0723672
0.8,0.393939,1,0.130603
0.8,0.393939,2,0.69177
0.8,0.393939,3,0.0495743
0.8,0.393939,4,0.128052
0.8,0.40404,1,0.0806083
0.8,0.40404,2,0.759395
0.8,0.40404,3,0.0787558
0.8,0.40404,4,0.0812407
0.8,0.414141,1,0.0812377
0.8,0.414141,2,0.778767
0.8,0.414141,3,0.0595029
0.8,0.414141,4,0.0804929
0.8,0.424242,1,0.072357
0.8,0.424242,2,0.792912
0.8,0.424242,3,0.0563733
0.8,0.424242,4,0.0783576
0.8,0.434343,1,0.102332
0.8,0.434343,2,0.745376
0.8,0.434343,3,0.0501918
0.8,0.434343,4,0.1021
0.8,0.444444,1,0.0872635
0.8,0.444444,2,0.738233
0.8,0.444444,3,0.0875409
0.8,0.444444,4,0.0869624
0.8,0.454545,1,0.0787662
0.8,0.454545,2,0.76765
0.8,0.454545,3,0.0698827
0.8,0.454545,4,0.0837014
0.8,0.464646,1,0.112407
0.8,0.464646,2,0.741961
0.8,0.464646,3,0.0376314
0.8,0.464646,4,0.108
0.8,0.474747,1,0.0667973
0.8,0.474747,2,0.823254
0.8,0.474747,3,0.0367093
0.8,0.474747,4,0.0732396
0.8,0.484848,1,0.0856398
0.8,0.484848,2,0.792731
