omega,a,action,Count
0,1.87879,4,0.113621
0,1.88889,1,0.131445
0,1.88889,2,0.720279
0,1.88889,3,0.0155831
0,1.88889,4,0.132693
0,1.89899,1,0.136939
0,1.89899,2,0.710369
0,1.89899,3,0.0165807
0,1.89899,4,0.136111
0,1.90909,1,0.131172
0,1.90909,2,0.705088
0,1.90909,3,0.0325702
0,1.90909,4,0.13117
0,1.91919,1,0.132324
0,1.91919,2,0.716228
0,1.91919,3,0.0216236
0,1.91919,4,0.129824
0,1.92929,1,0.165508
0,1.92929,2,0.640154
0,1.92929,3,0.0338341
0,1.92929,4,0.160503
0,1.93939,1,0.215249
0,1.93939,2,0.514764
0,1.93939,3,0.0527355
0,1.93939,4,0.217252
0,1.94949,1,0.1801
0,1.94949,2,0.561041
0,1.94949,3,0.0820978
0,1.94949,4,0.176761
0,1.9596,1,0.16687
0,1.9596,2,0.608593
0,1.9596,3,0.0577391
0,1.9596,4,0.166798
0,1.9697,1,0.206697
0,1.9697,2,0.483613
0,1.9697,3,0.102432
0,1.9697,4,0.207257
0,1.9798,1,0.220625
0,1.9798,2,0.412202
0,1.9798,3,0.135188
0,1.9798,4,0.231985
0,1.9899,1,0.197207
0,1.9899,2,0.398105
0,1.9899,3,0.213922
0,1.9899,4,0.190766
0,2,1,0.268453
0,2,2,0.256709
0,2,3,0.212199
0,2,4,0.262639
0.8,1,1,0.0018308
0.8,1,2,0.99553
0.8,1,3,0.0008682
0.8,1,4,0.0017714
0.8,1.0101,1,0.0022401
0.8,1.0101,2,0.994946
0.8,1.0101,3,0.0010273
0.8,1.0101,4,0.0017864
0.8,1.0202,1,0.0018729
0.8,1.0202,2,0.995013
0.8,1.0202,3,0.0010348
0.8,1.0202,4,0.0020794
0.8,1.0303,1,0.002029
0.8,1.0303,2,0.99482
0.8,1.0303,3,0.0010381
0.8,1.0303,4,0.0021127
0.8,1.0404,1,0.0029244
0.8,1.0404,2,0.992176
0.8,1.0404,3,0.0011476
0.8,1.0404,4,0.0037525
0.8,1.05051,1,0.0015203
0.8,1.05051,2,0.995826
0.8,1.05051,3,0.0011219
0.8,1.05051,4,0.0015319
0.8,1.06061,1,0.0017379
0.8,1.06061,2,0.995394
0.8,1.06061,3,0.0010783
0.8,1.06061,4,0.0017897
0.8,1.07071,1,0.0019721
0.8,1.07071,2,0.995458
0.8,1.07071,3,0.0009073
0.8,1.07071,4,0.0016627
0.8,1.08081,1,0.0014903
0.8,1.08081,2,0.996019
0.8,1.08081,3,0.0007462
0.8,1.08081,4,0.0017442
0.8,1.09091,1,0.0018545
0.8,1.09091,2,0.994937
0.8,1.09091,3,0.0010616
0.8,1.09091,4,0.0021469
0.8,1.10101,1,0.0018433
0.8,1.10101,2,0.995525
0.8,1.10101,3,0.0008447
0.8,1.10101,4,0.0017873
0.8,1.11111,1,0.0019435
0.8,1.11111,2,0.995381
0.8,1.11111,3,0.0009008
0.8,1.11111,4,0.0017745
0.8,1.12121,1,0.0026848
0.8,1.12121,2,0.993084
0.8,1.12121,3,0.0014622
0.8,1.12121,4,0.0027685
0.8,1.13131,1,0.0017791
0.8,1.13131,2,0.995716
0.8,1.13131,3,0.000633
0.8,1.13131,4,0.0018724
0.8,1.14141,1,0.0013019
0.8,1.14141,2,0.996367
0.8,1.14141,3,0.000809
0.8,1.14141,4,0.0015223
0.8,1.15152,1,0.0018744
0.8,1.15152,2,0.995453
0.8,1.15152,3,0.0012309
0.8,1.15152,4,0.0014414
