omega,alpha,beta,cs
1,0.0608108,1.32432e-05,0.317755
1,0.0608108,1.33784e-05,0.319495
1,0.0608108,1.35135e-05,0.318567
1,0.0608108,1.36486e-05,0.31729
1,0.0608108,1.37838e-05,0.320498
1,0.0608108,1.39189e-05,0.314461
1,0.0608108,1.40541e-05,0.321435
1,0.0608108,1.41892e-05,0.316859
1,0.0608108,1.43243e-05,0.318539
1,0.0608108,1.44595e-05,0.320501
1,0.0608108,1.45946e-05,0.31972
1,0.0608108,1.47297e-05,0.319837
1,0.0608108,1.48649e-05,0.322109
1,0.0608108,1.5e-05,0.3192
1,0.0635135,5e-06,0.308655
1,0.0635135,5.13514e-06,0.310686
1,0.0635135,5.27027e-06,0.309353
1,0.0635135,5.40541e-06,0.307546
1,0.0635135,5.54054e-06,0.309441
1,0.0635135,5.67568e-06,0.310972
1,0.0635135,5.81081e-06,0.310857
1,0.0635135,5.94595e-06,0.311753
1,0.0635135,6.08108e-06,0.316168
1,0.0635135,6.21622e-06,0.314839
1,0.0635135,6.35135e-06,0.312909
1,0.0635135,6.48649e-06,0.317295
1,0.0635135,6.62162e-06,0.315077
1,0.0635135,6.75676e-06,0.318424
1,0.0635135,6.89189e-06,0.310593
1,0.0635135,7.02703e-06,0.319878
1,0.0635135,7.16216e-06,0.315787
1,0.0635135,7.2973e-06,0.314759
1,0.0635135,7.43243e-06,0.31638
1,0.0635135,7.56757e-06,0.314537
1,0.0635135,7.7027e-06,0.311845
1,0.0635135,7.83784e-06,0.316261
1,0.0635135,7.97297e-06,0.315133
1,0.0635135,8.10811e-06,0.316322
1,0.0635135,8.24324e-06,0.313798
1,0.0635135,8.37838e-06,0.316598
1,0.0635135,8.51351e-06,0.313092
1,0.0635135,8.64865e-06,0.322738
1,0.0635135,8.78378e-06,0.319344
1,0.0635135,8.91892e-06,0.315436
1,0.0635135,9.05405e-06,0.319018
1,0.0635135,9.18919e-06,0.31699
1,0.0635135,9.32432e-06,0.319836
1,0.0635135,9.45946e-06,0.318052
1,0.0635135,9.59459e-06,0.31775
1,0.0635135,9.72973e-06,0.319151
1,0.0635135,9.86486e-06,0.318586
1,0.0635135,1e-05,0.318255
1,0.0635135,1.01351e-05,0.321125
1,0.0635135,1.02703e-05,0.318456
1,0.0635135,1.04054e-05,0.315363
1,0.0635135,1.05405e-05,0.314754
1,0.0635135,1.06757e-05,0.322382
1,0.0635135,1.08108e-05,0.318118
1,0.0635135,1.09459e-05,0.319945
1,0.0635135,1.10811e-05,0.314731
1,0.0635135,1.12162e-05,0.316228
1,0.0635135,1.13514e-05,0.319758
1,0.0635135,1.14865e-05,0.322404
1,0.0635135,1.16216e-05,0.324683
1,0.0635135,1.17568e-05,0.314536
1,0.0635135,1.18919e-05,0.322527
1,0.0635135,1.2027e-05,0.324362
1,0.0635135,1.21622e-05,0.323978
1,0.0635135,1.22973e-05,0.319513
1,0.0635135,1.24324e-05,0.320253
1,0.0635135,1.25676e-05,0.318788
1,0.0635135,1.27027e-05,0.320522
1,0.0635135,1.28378e-05,0.318894
1,0.0635135,1.2973e-05,0.315192
1,0.0635135,1.31081e-05,0.323343
1,0.0635135,1.32432e-05,0.316593
1,0.0635135,1.33784e-05,0.317905
1,0.0635135,1.35135e-05,0.317019
1,0.0635135,1.36486e-05,0.316355
1,0.0635135,1.37838e-05,0.318981
1,0.0635135,1.39189e-05,0.316299
1,0.0635135,1.40541e-05,0.315945
1,0.0635135,1.41892e-05,0.320988
1,0.0635135,1.43243e-05,0.319198
1,0.0635135,1.44595e-05,0.317346
1,0.0635135,1.45946e-05,0.315695
1,0.0635135,1.47297e-05,0.31846
1,0.0635135,1.48649e-05,0.316994
1,0.0635135,1.5e-05,0.318704
1,0.0662162,5e-06,0.315242
1,0.0662162,5.13514e-06,0.304943
1,0.0662162,5.27027e-06,0.308808
1,0.0662162,5.40541e-06,0.314277
1,0.0662162,5.54054e-06,0.308328
