omega,gamma,beta,firm,profit
1,0.0920229,1.07879e-05,2,0.135223
1,0.0920229,1.09798e-05,1,0.135005
1,0.0920229,1.09798e-05,2,0.134543
1,0.0920229,1.11717e-05,1,0.135106
1,0.0920229,1.11717e-05,2,0.136277
1,0.0920229,1.13636e-05,1,0.134636
1,0.0920229,1.13636e-05,2,0.134718
1,0.0920229,1.15556e-05,1,0.135581
1,0.0920229,1.15556e-05,2,0.13544
1,0.0920229,1.17475e-05,1,0.134949
1,0.0920229,1.17475e-05,2,0.13533
1,0.0920229,1.19394e-05,1,0.135318
1,0.0920229,1.19394e-05,2,0.134894
1,0.0920229,1.21313e-05,1,0.134169
1,0.0920229,1.21313e-05,2,0.135242
1,0.0920229,1.23232e-05,1,0.135933
1,0.0920229,1.23232e-05,2,0.134372
1,0.0920229,1.25151e-05,1,0.134897
1,0.0920229,1.25151e-05,2,0.134514
1,0.0920229,1.27071e-05,1,0.135092
1,0.0920229,1.27071e-05,2,0.134709
1,0.0920229,1.2899e-05,1,0.135182
1,0.0920229,1.2899e-05,2,0.134811
1,0.0920229,1.30909e-05,1,0.134461
1,0.0920229,1.30909e-05,2,0.135085
1,0.0920229,1.32828e-05,1,0.134963
1,0.0920229,1.32828e-05,2,0.135062
1,0.0920229,1.34747e-05,1,0.134253
1,0.0920229,1.34747e-05,2,0.134511
1,0.0920229,1.36667e-05,1,0.135209
1,0.0920229,1.36667e-05,2,0.136024
1,0.0920229,1.38586e-05,1,0.13633
1,0.0920229,1.38586e-05,2,0.135302
1,0.0920229,1.40505e-05,1,0.134079
1,0.0920229,1.40505e-05,2,0.135377
1,0.0920229,1.42424e-05,1,0.134205
1,0.0920229,1.42424e-05,2,0.134466
1,0.0920229,1.44343e-05,1,0.134441
1,0.0920229,1.44343e-05,2,0.134428
1,0.0920229,1.46262e-05,1,0.136429
1,0.0920229,1.46262e-05,2,0.13596
1,0.0920229,1.48182e-05,1,0.135027
1,0.0920229,1.48182e-05,2,0.134933
1,0.0920229,1.50101e-05,1,0.134119
1,0.0920229,1.50101e-05,2,0.134359
1,0.0920229,1.5202e-05,1,0.134956
1,0.0920229,1.5202e-05,2,0.135184
1,0.0949521,5.798e-06,1,0.136017
1,0.0949521,5.798e-06,2,0.135017
1,0.0949521,5.98992e-06,1,0.135501
1,0.0949521,5.98992e-06,2,0.135323
1,0.0949521,6.18184e-06,1,0.136695
1,0.0949521,6.18184e-06,2,0.137113
1,0.0949521,6.37376e-06,1,0.13702
1,0.0949521,6.37376e-06,2,0.136505
1,0.0949521,6.56567e-06,1,0.136605
1,0.0949521,6.56567e-06,2,0.136249
1,0.0949521,6.75759e-06,1,0.13571
1,0.0949521,6.75759e-06,2,0.135014
1,0.0949521,6.94951e-06,1,0.134911
1,0.0949521,6.94951e-06,2,0.135237
1,0.0949521,7.14143e-06,1,0.137211
1,0.0949521,7.14143e-06,2,0.136659
1,0.0949521,7.33335e-06,1,0.137237
1,0.0949521,7.33335e-06,2,0.136732
1,0.0949521,7.52527e-06,1,0.136127
1,0.0949521,7.52527e-06,2,0.136025
1,0.0949521,7.71718e-06,1,0.13419
1,0.0949521,7.71718e-06,2,0.134316
1,0.0949521,7.9091e-06,1,0.134935
1,0.0949521,7.9091e-06,2,0.135157
1,0.0949521,8.10102e-06,1,0.134729
1,0.0949521,8.10102e-06,2,0.135235
1,0.0949521,8.29294e-06,1,0.1343
1,0.0949521,8.29294e-06,2,0.135204
1,0.0949521,8.48486e-06,1,0.136936
1,0.0949521,8.48486e-06,2,0.137376
1,0.0949521,8.67678e-06,1,0.134243
1,0.0949521,8.67678e-06,2,0.134791
1,0.0949521,8.86869e-06,1,0.133923
1,0.0949521,8.86869e-06,2,0.133728
1,0.0949521,9.06061e-06,1,0.135425
1,0.0949521,9.06061e-06,2,0.134382
1,0.0949521,9.25253e-06,1,0.133804
1,0.0949521,9.25253e-06,2,0.134742
1,0.0949521,9.44445e-06,1,0.135023
1,0.0949521,9.44445e-06,2,0.135192
1,0.0949521,9.63637e-06,1,0.13535
1,0.0949521,9.63637e-06,2,0.134755
1,0.0949521,9.82829e-06,1,0.133309
1,0.0949521,9.82829e-06,2,0.135448
1,0.0949521,1.00202e-05,1,0.134985
1,0.0949521,1.00202e-05,2,0.134565
1,0.0949521,1.02121e-05,1,0.135692
1,0.0949521,1.02121e-05,2,0.13482
1,0.0949521,1.0404e-05,1,0.135162
1,0.0949521,1.0404e-05,2,0.134579
1,0.0949521,1.0596e-05,1,0.135054
1,0.0949521,1.0596e-05,2,0.134743
1,0.0949521,1.07879e-05,1,0.135711
1,0.0949521,1.07879e-05,2,0.136664
1,0.0949521,1.09798e-05,1,0.135946
1,0.0949521,1.09798e-05,2,0.135035
1,0.0949521,1.11717e-05,1,0.134058
1,0.0949521,1.11717e-05,2,0.135122
1,0.0949521,1.13636e-05,1,0.13521
1,0.0949521,1.13636e-05,2,0.133805
1,0.0949521,1.15556e-05,1,0.136058
1,0.0949521,1.15556e-05,2,0.135936
1,0.0949521,1.17475e-05,1,0.136255
1,0.0949521,1.17475e-05,2,0.135731
1,0.0949521,1.19394e-05,1,0.134226
1,0.0949521,1.19394e-05,2,0.134102
1,0.0949521,1.21313e-05,1,0.13465
1,0.0949521,1.21313e-05,2,0.135176
1,0.0949521,1.23232e-05,1,0.135488
1,0.0949521,1.23232e-05,2,0.13523
1,0.0949521,1.25151e-05,1,0.134397
1,0.0949521,1.25151e-05,2,0.133931
1,0.0949521,1.27071e-05,1,0.135141
1,0.0949521,1.27071e-05,2,0.136162
1,0.0949521,1.2899e-05,1,0.135823
1,0.0949521,1.2899e-05,2,0.135883
1,0.0949521,1.30909e-05,1,0.134897
1,0.0949521,1.30909e-05,2,0.135126
1,0.0949521,1.32828e-05,1,0.134922
1,0.0949521,1.32828e-05,2,0.135578
1,0.0949521,1.34747e-05,1,0.135103
1,0.0949521,1.34747e-05,2,0.135656
1,0.0949521,1.36667e-05,1,0.135689
1,0.0949521,1.36667e-05,2,0.134931
1,0.0949521,1.38586e-05,1,0.135293
1,0.0949521,1.38586e-05,2,0.134856
1,0.0949521,1.40505e-05,1,0.135984
1,0.0949521,1.40505e-05,2,0.135563
1,0.0949521,1.42424e-05,1,0.134249
1,0.0949521,1.42424e-05,2,0.134118
