omega,c,action,Count
0,0.469697,2,0.727766
0,0.469697,3,0.0140108
0,0.469697,4,0.130077
0,0.474747,1,0.148614
0,0.474747,2,0.684202
0,0.474747,3,0.0209339
0,0.474747,4,0.14625
0,0.479798,1,0.148135
0,0.479798,2,0.687653
0,0.479798,3,0.0172281
0,0.479798,4,0.146985
0,0.484848,1,0.116491
0,0.484848,2,0.747433
0,0.484848,3,0.0220028
0,0.484848,4,0.114073
0,0.489899,1,0.122461
0,0.489899,2,0.725071
0,0.489899,3,0.0300095
0,0.489899,4,0.122459
0,0.494949,1,0.161038
0,0.494949,2,0.65615
0,0.494949,3,0.0196158
0,0.494949,4,0.163197
0,0.5,1,0.159504
0,0.5,2,0.672152
0,0.5,3,0.0085071
0,0.5,4,0.159837
0.8,0,1,0.0564788
0.8,0,2,0.864149
0.8,0,3,0.0228937
0.8,0,4,0.0564783
0.8,0.00505051,1,0.0685425
0.8,0.00505051,2,0.830551
0.8,0.00505051,3,0.034037
0.8,0.00505051,4,0.0668697
0.8,0.010101,1,0.0710213
0.8,0.010101,2,0.841822
0.8,0.010101,3,0.0161418
0.8,0.010101,4,0.0710153
0.8,0.0151515,1,0.0457236
0.8,0.0151515,2,0.906341
0.8,0.0151515,3,0.0021745
0.8,0.0151515,4,0.0457604
0.8,0.020202,1,0.0908778
0.8,0.020202,2,0.812107
0.8,0.020202,3,0.0057367
0.8,0.020202,4,0.0912786
0.8,0.0252525,1,0.100764
0.8,0.0252525,2,0.783876
0.8,0.0252525,3,0.0132637
0.8,0.0252525,4,0.102096
0.8,0.030303,1,0.0600091
0.8,0.030303,2,0.863727
0.8,0.030303,3,0.0162566
0.8,0.030303,4,0.0600071
0.8,0.0353535,1,0.0705211
0.8,0.0353535,2,0.850147
0.8,0.0353535,3,0.0073517
0.8,0.0353535,4,0.0719798
0.8,0.040404,1,0.0758857
0.8,0.040404,2,0.841
0.8,0.040404,3,0.007219
0.8,0.040404,4,0.0758957
0.8,0.0454545,1,0.0756295
0.8,0.0454545,2,0.83825
0.8,0.0454545,3,0.0104865
0.8,0.0454545,4,0.0756338
0.8,0.0505051,1,0.0753666
0.8,0.0505051,2,0.832997
0.8,0.0505051,3,0.0164985
0.8,0.0505051,4,0.0751377
0.8,0.0555556,1,0.0471353
0.8,0.0555556,2,0.893928
0.8,0.0555556,3,0.0117975
0.8,0.0555556,4,0.0471391
0.8,0.0606061,1,0.0723865
0.8,0.0606061,2,0.842846
0.8,0.0606061,3,0.0106727
0.8,0.0606061,4,0.0740951
0.8,0.0656566,1,0.0728954
0.8,0.0656566,2,0.843281
0.8,0.0656566,3,0.011126
0.8,0.0656566,4,0.0726977
0.8,0.0707071,1,0.0755133
0.8,0.0707071,2,0.833706
0.8,0.0707071,3,0.0152668
0.8,0.0707071,4,0.0755134
0.8,0.0757576,1,0.0636091
0.8,0.0757576,2,0.864504
0.8,0.0757576,3,0.0083719
0.8,0.0757576,4,0.0635146
0.8,0.0808081,1,0.0711785
0.8,0.0808081,2,0.845105
0.8,0.0808081,3,0.0158618
0.8,0.0808081,4,0.0678542
0.8,0.0858586,1,0.0539846
0.8,0.0858586,2,0.871746
0.8,0.0858586,3,0.0202946
0.8,0.0858586,4,0.0539749
0.8,0.0909091,1,0.101385
0.8,0.0909091,2,0.780491
0.8,0.0909091,3,0.0165653
0.8,0.0909091,4,0.101558
0.8,0.0959596,1,0.0447739
0.8,0.0959596,2,0.894008
0.8,0.0959596,3,0.0161887
0.8,0.0959596,4,0.0450297
0.8,0.10101,1,0.0580991
