omega,c,firm,demand
0.8,0.459596,2,0.351573
0.8,0.464646,1,0.351391
0.8,0.464646,2,0.354939
0.8,0.469697,1,0.354658
0.8,0.469697,2,0.352823
0.8,0.474747,1,0.35042
0.8,0.474747,2,0.352141
0.8,0.479798,1,0.352303
0.8,0.479798,2,0.350364
0.8,0.484848,1,0.349978
0.8,0.484848,2,0.353624
0.8,0.489899,1,0.352942
0.8,0.489899,2,0.34896
0.8,0.494949,1,0.348862
0.8,0.494949,2,0.349697
0.8,0.5,1,0.348622
0.8,0.5,2,0.347146
1,0,1,0.358116
1,0,2,0.360772
1,0.00505051,1,0.360488
1,0.00505051,2,0.36177
1,0.010101,1,0.363936
1,0.010101,2,0.362239
1,0.0151515,1,0.3593
1,0.0151515,2,0.366452
1,0.020202,1,0.363693
1,0.020202,2,0.363158
1,0.0252525,1,0.361734
1,0.0252525,2,0.362477
1,0.030303,1,0.359271
1,0.030303,2,0.366913
1,0.0353535,1,0.358346
1,0.0353535,2,0.367227
1,0.040404,1,0.362176
1,0.040404,2,0.366321
1,0.0454545,1,0.362264
1,0.0454545,2,0.37037
1,0.0505051,1,0.362271
1,0.0505051,2,0.360664
1,0.0555556,1,0.356234
1,0.0555556,2,0.371945
1,0.0606061,1,0.359788
1,0.0606061,2,0.364318
1,0.0656566,1,0.364059
1,0.0656566,2,0.358306
1,0.0707071,1,0.359226
1,0.0707071,2,0.362653
1,0.0757576,1,0.365339
1,0.0757576,2,0.360731
1,0.0808081,1,0.356041
1,0.0808081,2,0.364341
1,0.0858586,1,0.362467
1,0.0858586,2,0.360522
1,0.0909091,1,0.357518
1,0.0909091,2,0.36128
1,0.0959596,1,0.360252
1,0.0959596,2,0.364528
1,0.10101,1,0.356006
1,0.10101,2,0.362145
1,0.106061,1,0.363199
1,0.106061,2,0.360718
1,0.111111,1,0.360562
1,0.111111,2,0.353446
1,0.116162,1,0.362326
1,0.116162,2,0.356852
1,0.121212,1,0.361139
1,0.121212,2,0.357444
1,0.126263,1,0.357417
1,0.126263,2,0.358686
1,0.131313,1,0.355165
1,0.131313,2,0.356479
1,0.136364,1,0.35904
1,0.136364,2,0.360716
1,0.141414,1,0.359376
1,0.141414,2,0.358796
1,0.146465,1,0.357041
1,0.146465,2,0.358013
1,0.151515,1,0.356634
1,0.151515,2,0.360632
1,0.156566,1,0.359156
1,0.156566,2,0.3606
1,0.161616,1,0.35676
1,0.161616,2,0.361328
1,0.166667,1,0.362315
1,0.166667,2,0.355674
1,0.171717,1,0.36065
1,0.171717,2,0.358257
1,0.176768,1,0.35993
1,0.176768,2,0.361637
1,0.181818,1,0.35754
1,0.181818,2,0.358959
1,0.186869,1,0.359822
1,0.186869,2,0.351954
1,0.191919,1,0.359648
1,0.191919,2,0.359248
1,0.19697,1,0.357616
1,0.19697,2,0.356289
1,0.20202,1,0.35693
1,0.20202,2,0.360381
1,0.207071,1,0.358443
1,0.207071,2,0.357649
1,0.212121,1,0.355208
1,0.212121,2,0.35904
1,0.217172,1,0.35401
1,0.217172,2,0.3649
1,0.222222,1,0.360179
1,0.222222,2,0.357445
1,0.227273,1,0.356194
1,0.227273,2,0.359251
1,0.232323,1,0.35854
1,0.232323,2,0.357326
1,0.237374,1,0.355804
1,0.237374,2,0.360793
1,0.242424,1,0.358748
1,0.242424,2,0.357149
1,0.247475,1,0.360903
1,0.247475,2,0.35567
1,0.252525,1,0.356351
1,0.252525,2,0.35905
1,0.257576,1,0.353534
1,0.257576,2,0.358109
1,0.262626,1,0.354835
1,0.262626,2,0.353874
1,0.267677,1,0.351101
1,0.267677,2,0.361607
1,0.272727,1,0.353519
1,0.272727,2,0.354814
1,0.277778,1,0.353306
1,0.277778,2,0.357509
1,0.282828,1,0.355502
1,0.282828,2,0.349469
1,0.287879,1,0.354889
1,0.287879,2,0.355096
1,0.292929,1,0.350255
1,0.292929,2,0.356172
1,0.29798,1,0.35751
1,0.29798,2,0.348638
1,0.30303,1,0.351061
1,0.30303,2,0.352796
1,0.308081,1,0.345597
1,0.308081,2,0.363076
1,0.313131,1,0.357071
1,0.313131,2,0.34971
1,0.318182,1,0.353183
1,0.318182,2,0.34737
1,0.323232,1,0.348548
1,0.323232,2,0.356552
1,0.328283,1,0.353677
1,0.328283,2,0.346519
1,0.333333,1,0.347806
1,0.333333,2,0.354605
1,0.338384,1,0.351282
1,0.338384,2,0.347644
1,0.343434,1,0.347541
1,0.343434,2,0.343871
1,0.348485,1,0.350589
1,0.348485,2,0.344253
1,0.353535,1,0.349054
1,0.353535,2,0.347432
1,0.358586,1,0.350456
1,0.358586,2,0.344287
1,0.363636,1,0.345451
1,0.363636,2,0.351715
1,0.368687,1,0.345844
1,0.368687,2,0.346515
1,0.373737,1,0.344367
1,0.373737,2,0.349595
1,0.378788,1,0.345355
1,0.378788,2,0.348928
1,0.383838,1,0.340504
1,0.383838,2,0.349492
1,0.388889,1,0.34225
1,0.388889,2,0.347293
1,0.393939,1,0.343406
1,0.393939,2,0.343802
1,0.39899,1,0.343579
1,0.39899,2,0.345014
1,0.40404,1,0.343062
1,0.40404,2,0.345031
1,0.409091,1,0.344638
1,0.409091,2,0.345369
1,0.414141,1,0.3424
1,0.414141,2,0.340707
1,0.419192,1,0.342997
1,0.419192,2,0.343254
1,0.424242,1,0.346025
1,0.424242,2,0.340123
1,0.429293,1,0.346819
1,0.429293,2,0.337398
1,0.434343,1,0.3406
1,0.434343,2,0.343258
1,0.439394,1,0.343804
1,0.439394,2,0.343644
1,0.444444,1,0.340213
1,0.444444,2,0.347123
1,0.449495,1,0.338363
1,0.449495,2,0.342104
1,0.454545,1,0.34149
1,0.454545,2,0.339671
1,0.459596,1,0.337538
1,0.459596,2,0.34313
1,0.464646,1,0.33717
1,0.464646,2,0.340928
1,0.469697,1,0.339837
1,0.469697,2,0.335699
1,0.474747,1,0.336697
1,0.474747,2,0.340586
1,0.479798,1,0.331858
1,0.479798,2,0.341262
1,0.484848,1,0.342313
1,0.484848,2,0.336196
1,0.489899,1,0.335282
1,0.489899,2,0.337792
1,0.494949,1,0.337835
1,0.494949,2,0.332252
1,0.5,1,0.336759
1,0.5,2,0.333684
