omega,gamma,beta,action,Count
0.8,0.0861646,1.36667e-05,1,0.0440315
0.8,0.0861646,1.36667e-05,2,0.892408
0.8,0.0861646,1.36667e-05,3,0.0196025
0.8,0.0861646,1.36667e-05,4,0.0439582
0.8,0.0861646,1.38586e-05,1,0.0541042
0.8,0.0861646,1.38586e-05,2,0.882223
0.8,0.0861646,1.38586e-05,3,0.0066675
0.8,0.0861646,1.38586e-05,4,0.0570054
0.8,0.0861646,1.40505e-05,1,0.0766968
0.8,0.0861646,1.40505e-05,2,0.8402
0.8,0.0861646,1.40505e-05,3,0.0061707
0.8,0.0861646,1.40505e-05,4,0.0769328
0.8,0.0861646,1.42424e-05,1,0.0483237
0.8,0.0861646,1.42424e-05,2,0.897162
0.8,0.0861646,1.42424e-05,3,0.006176
0.8,0.0861646,1.42424e-05,4,0.0483384
0.8,0.0861646,1.44343e-05,1,0.0282086
0.8,0.0861646,1.44343e-05,2,0.927979
0.8,0.0861646,1.44343e-05,3,0.0149055
0.8,0.0861646,1.44343e-05,4,0.0289066
0.8,0.0861646,1.46262e-05,1,0.0583939
0.8,0.0861646,1.46262e-05,2,0.869294
0.8,0.0861646,1.46262e-05,3,0.0137197
0.8,0.0861646,1.46262e-05,4,0.0585921
0.8,0.0861646,1.48182e-05,1,0.0591101
0.8,0.0861646,1.48182e-05,2,0.870349
0.8,0.0861646,1.48182e-05,3,0.0114395
0.8,0.0861646,1.48182e-05,4,0.0591019
0.8,0.0861646,1.50101e-05,1,0.0644204
0.8,0.0861646,1.50101e-05,2,0.861357
0.8,0.0861646,1.50101e-05,3,0.0092839
0.8,0.0861646,1.50101e-05,4,0.0649382
0.8,0.0861646,1.5202e-05,1,0.0512506
0.8,0.0861646,1.5202e-05,2,0.893514
0.8,0.0861646,1.5202e-05,3,0.0038717
0.8,0.0861646,1.5202e-05,4,0.051364
0.8,0.0890937,5.798e-06,1,0.121401
0.8,0.0890937,5.798e-06,2,0.73881
0.8,0.0890937,5.798e-06,3,0.0183825
0.8,0.0890937,5.798e-06,4,0.121406
0.8,0.0890937,5.98992e-06,1,0.072625
0.8,0.0890937,5.98992e-06,2,0.833204
0.8,0.0890937,5.98992e-06,3,0.0215728
0.8,0.0890937,5.98992e-06,4,0.0725978
0.8,0.0890937,6.18184e-06,1,0.0802676
0.8,0.0890937,6.18184e-06,2,0.82775
0.8,0.0890937,6.18184e-06,3,0.0137222
0.8,0.0890937,6.18184e-06,4,0.0782604
0.8,0.0890937,6.37376e-06,1,0.068832
0.8,0.0890937,6.37376e-06,2,0.8524
0.8,0.0890937,6.37376e-06,3,0.0099574
0.8,0.0890937,6.37376e-06,4,0.0688108
0.8,0.0890937,6.56567e-06,1,0.064417
0.8,0.0890937,6.56567e-06,2,0.841746
0.8,0.0890937,6.56567e-06,3,0.0277432
0.8,0.0890937,6.56567e-06,4,0.0660936
0.8,0.0890937,6.75759e-06,1,0.0948425
0.8,0.0890937,6.75759e-06,2,0.777928
0.8,0.0890937,6.75759e-06,3,0.0323923
0.8,0.0890937,6.75759e-06,4,0.094837
0.8,0.0890937,6.94951e-06,1,0.0989817
0.8,0.0890937,6.94951e-06,2,0.781721
0.8,0.0890937,6.94951e-06,3,0.0202572
0.8,0.0890937,6.94951e-06,4,0.0990398
0.8,0.0890937,7.14143e-06,1,0.0937221
0.8,0.0890937,7.14143e-06,2,0.801739
0.8,0.0890937,7.14143e-06,3,0.0091473
0.8,0.0890937,7.14143e-06,4,0.0953912
0.8,0.0890937,7.33335e-06,1,0.0696626
0.8,0.0890937,7.33335e-06,2,0.843896
0.8,0.0890937,7.33335e-06,3,0.0167812
0.8,0.0890937,7.33335e-06,4,0.0696607
0.8,0.0890937,7.52527e-06,1,0.090721
0.8,0.0890937,7.52527e-06,2,0.806838
0.8,0.0890937,7.52527e-06,3,0.0117127
0.8,0.0890937,7.52527e-06,4,0.0907282
0.8,0.0890937,7.71718e-06,1,0.0566808
0.8,0.0890937,7.71718e-06,2,0.874652
0.8,0.0890937,7.71718e-06,3,0.0119572
0.8,0.0890937,7.71718e-06,4,0.0567095
0.8,0.0890937,7.9091e-06,1,0.068746
0.8,0.0890937,7.9091e-06,2,0.844038
0.8,0.0890937,7.9091e-06,3,0.0197186
0.8,0.0890937,7.9091e-06,4,0.0674972
0.8,0.0890937,8.10102e-06,1,0.0747791
0.8,0.0890937,8.10102e-06,2,0.821812
0.8,0.0890937,8.10102e-06,3,0.0288508
0.8,0.0890937,8.10102e-06,4,0.0745584
0.8,0.0890937,8.29294e-06,1,0.0586803
0.8,0.0890937,8.29294e-06,2,0.864833
0.8,0.0890937,8.29294e-06,3,0.0194372
0.8,0.0890937,8.29294e-06,4,0.0570496
0.8,0.0890937,8.48486e-06,1,0.0769967
0.8,0.0890937,8.48486e-06,2,0.822386
0.8,0.0890937,8.48486e-06,3,0.0236262
0.8,0.0890937,8.48486e-06,4,0.0769914
0.8,0.0890937,8.67678e-06,1,0.0805337
0.8,0.0890937,8.67678e-06,2,0.816547
0.8,0.0890937,8.67678e-06,3,0.0223905
0.8,0.0890937,8.67678e-06,4,0.080529
0.8,0.0890937,8.86869e-06,1,0.0740418
0.8,0.0890937,8.86869e-06,2,0.840402
0.8,0.0890937,8.86869e-06,3,0.0115163
0.8,0.0890937,8.86869e-06,4,0.0740402
0.8,0.0890937,9.06061e-06,1,0.0702661
0.8,0.0890937,9.06061e-06,2,0.841063
0.8,0.0890937,9.06061e-06,3,0.0182058
0.8,0.0890937,9.06061e-06,4,0.0704647
0.8,0.0890937,9.25253e-06,1,0.0935034
0.8,0.0890937,9.25253e-06,2,0.793363
0.8,0.0890937,9.25253e-06,3,0.0182014
0.8,0.0890937,9.25253e-06,4,0.094932
0.8,0.0890937,9.44445e-06,1,0.0841211
0.8,0.0890937,9.44445e-06,2,0.797665
0.8,0.0890937,9.44445e-06,3,0.0320182
0.8,0.0890937,9.44445e-06,4,0.086196
0.8,0.0890937,9.63637e-06,1,0.0753611
0.8,0.0890937,9.63637e-06,2,0.846583
0.8,0.0890937,9.63637e-06,3,0.0027407
0.8,0.0890937,9.63637e-06,4,0.0753152
0.8,0.0890937,9.82829e-06,1,0.0729733
0.8,0.0890937,9.82829e-06,2,0.83616
0.8,0.0890937,9.82829e-06,3,0.0164604
0.8,0.0890937,9.82829e-06,4,0.0744067
0.8,0.0890937,1.00202e-05,1,0.056396
0.8,0.0890937,1.00202e-05,2,0.87701
0.8,0.0890937,1.00202e-05,3,0.0102045
0.8,0.0890937,1.00202e-05,4,0.0563898
0.8,0.0890937,1.02121e-05,1,0.0588782
0.8,0.0890937,1.02121e-05,2,0.875789
0.8,0.0890937,1.02121e-05,3,0.0064601
0.8,0.0890937,1.02121e-05,4,0.0588722
0.8,0.0890937,1.0404e-05,1,0.0743532
0.8,0.0890937,1.0404e-05,2,0.821176
0.8,0.0890937,1.0404e-05,3,0.0321042
0.8,0.0890937,1.0404e-05,4,0.0723667
0.8,0.0890937,1.0596e-05,1,0.0591963
0.8,0.0890937,1.0596e-05,2,0.87751
0.8,0.0890937,1.0596e-05,3,0.0050374
0.8,0.0890937,1.0596e-05,4,0.0582567
0.8,0.0890937,1.07879e-05,1,0.0343843
0.8,0.0890937,1.07879e-05,2,0.911951
0.8,0.0890937,1.07879e-05,3,0.0192667
0.8,0.0890937,1.07879e-05,4,0.0343978
0.8,0.0890937,1.09798e-05,1,0.0756659
0.8,0.0890937,1.09798e-05,2,0.833159
0.8,0.0890937,1.09798e-05,3,0.015817
0.8,0.0890937,1.09798e-05,4,0.075358
0.8,0.0890937,1.11717e-05,1,0.0742664
0.8,0.0890937,1.11717e-05,2,0.840502
0.8,0.0890937,1.11717e-05,3,0.0109527
0.8,0.0890937,1.11717e-05,4,0.0742793
0.8,0.0890937,1.13636e-05,1,0.0634426
0.8,0.0890937,1.13636e-05,2,0.864143
0.8,0.0890937,1.13636e-05,3,0.0089603
0.8,0.0890937,1.13636e-05,4,0.0634537
0.8,0.0890937,1.15556e-05,1,0.0572564
0.8,0.0890937,1.15556e-05,2,0.87204
0.8,0.0890937,1.15556e-05,3,0.0138452
0.8,0.0890937,1.15556e-05,4,0.0568585
0.8,0.0890937,1.17475e-05,1,0.0315329
