omega,gamma,theta_1,action,Count
0,0.575758,1,1,0.181228
0,0.575758,1,2,0.609263
0,0.575758,1,3,0.018266
0,0.575758,1,4,0.191243
0,0.575758,1.1,1,0.132427
0,0.575758,1.1,2,0.692445
0,0.575758,1.1,3,0.0380357
0,0.575758,1.1,4,0.137093
0,0.585859,0.9,1,0.212286
0,0.585859,0.9,2,0.461484
0,0.585859,0.9,3,0.0338601
0,0.585859,0.9,4,0.29237
0,0.585859,1,1,0.173683
0,0.585859,1,2,0.627235
0,0.585859,1,3,0.0159568
0,0.585859,1,4,0.183125
0,0.585859,1.1,1,0.131367
0,0.585859,1.1,2,0.72387
0,0.585859,1.1,3,0.0136336
0,0.585859,1.1,4,0.131129
0,0.59596,0.9,1,0.197675
0,0.59596,0.9,2,0.474647
0,0.59596,0.9,3,0.018914
0,0.59596,0.9,4,0.308764
0,0.59596,1,1,0.179879
0,0.59596,1,2,0.583596
0,0.59596,1,3,0.0207602
0,0.59596,1,4,0.215764
0,0.59596,1.1,1,0.133102
0,0.59596,1.1,2,0.708709
0,0.59596,1.1,3,0.0203121
0,0.59596,1.1,4,0.137877
0,0.606061,0.9,1,0.193255
0,0.606061,0.9,2,0.460846
0,0.606061,0.9,3,0.0463611
0,0.606061,0.9,4,0.299538
0,0.606061,1,1,0.197373
0,0.606061,1,2,0.529182
0,0.606061,1,3,0.0374378
0,0.606061,1,4,0.236007
0,0.606061,1.1,1,0.127264
0,0.606061,1.1,2,0.730035
0,0.606061,1.1,3,0.0106744
0,0.606061,1.1,4,0.132026
0,0.616162,0.9,1,0.211346
0,0.616162,0.9,2,0.429966
0,0.616162,0.9,3,0.0522846
0,0.616162,0.9,4,0.306404
0,0.616162,1,1,0.222802
0,0.616162,1,2,0.469917
0,0.616162,1,3,0.0402203
0,0.616162,1,4,0.26706
0,0.616162,1.1,1,0.160734
0,0.616162,1.1,2,0.645441
0,0.616162,1.1,3,0.0210945
0,0.616162,1.1,4,0.172731
0,0.626263,0.9,1,0.187563
0,0.626263,0.9,2,0.47442
0,0.626263,0.9,3,0.0442865
0,0.626263,0.9,4,0.29373
0,0.626263,1,1,0.204981
0,0.626263,1,2,0.484116
0,0.626263,1,3,0.0489837
0,0.626263,1,4,0.261919
0,0.626263,1.1,1,0.116128
0,0.626263,1.1,2,0.719969
0,0.626263,1.1,3,0.0332687
0,0.626263,1.1,4,0.130634
0,0.636364,0.9,1,0.186794
0,0.636364,0.9,2,0.474493
0,0.636364,0.9,3,0.0329738
0,0.636364,0.9,4,0.30574
0,0.636364,1,1,0.239949
0,0.636364,1,2,0.419901
0,0.636364,1,3,0.0437733
0,0.636364,1,4,0.296376
0,0.636364,1.1,1,0.173435
0,0.636364,1.1,2,0.590096
0,0.636364,1.1,3,0.0446857
0,0.636364,1.1,4,0.191783
0,0.646465,0.9,1,0.209564
0,0.646465,0.9,2,0.436404
0,0.646465,0.9,3,0.0409752
0,0.646465,0.9,4,0.313057
0,0.646465,1,1,0.20166
0,0.646465,1,2,0.453296
0,0.646465,1,3,0.0525555
0,0.646465,1,4,0.292489
0,0.646465,1.1,1,0.167583
0,0.646465,1.1,2,0.608103
0,0.646465,1.1,3,0.0278569
0,0.646465,1.1,4,0.196457
0,0.656566,0.9,1,0.171176
0,0.656566,0.9,2,0.506602
0,0.656566,0.9,3,0.0295288
0,0.656566,0.9,4,0.292694
0,0.656566,1,1,0.219854
0,0.656566,1,2,0.428413
0,0.656566,1,3,0.0516951
0,0.656566,1,4,0.300038
0,0.656566,1.1,1,0.171368
0,0.656566,1.1,2,0.586383
0,0.656566,1.1,3,0.0415891
0,0.656566,1.1,4,0.200659
0,0.666667,0.9,1,0.170759
0,0.666667,0.9,2,0.481656
