omega,gamma,theta_1,cs
1,0.464646,0.9,0.336967
1,0.464646,1,0.316007
1,0.464646,1.1,0.288483
1,0.474747,0.9,0.339325
1,0.474747,1,0.320121
1,0.474747,1.1,0.290348
1,0.484848,0.9,0.336887
1,0.484848,1,0.326547
1,0.484848,1.1,0.287832
1,0.494949,0.9,0.333545
1,0.494949,1,0.323494
1,0.494949,1.1,0.292816
1,0.505051,0.9,0.34156
1,0.505051,1,0.321692
1,0.505051,1.1,0.288471
1,0.515152,0.9,0.336273
1,0.515152,1,0.320553
1,0.515152,1.1,0.287933
1,0.525253,0.9,0.33796
1,0.525253,1,0.31924
1,0.525253,1.1,0.289688
1,0.535354,0.9,0.336761
1,0.535354,1,0.319664
1,0.535354,1.1,0.29343
1,0.545455,0.9,0.339314
1,0.545455,1,0.319353
1,0.545455,1.1,0.290666
1,0.555556,0.9,0.343492
1,0.555556,1,0.316245
1,0.555556,1.1,0.287917
1,0.565657,0.9,0.340064
1,0.565657,1,0.314242
1,0.565657,1.1,0.287196
1,0.575758,0.9,0.338104
1,0.575758,1,0.317829
1,0.575758,1.1,0.284694
1,0.585859,0.9,0.345725
1,0.585859,1,0.316359
1,0.585859,1.1,0.288423
1,0.59596,0.9,0.346036
1,0.59596,1,0.314251
1,0.59596,1.1,0.289896
1,0.606061,0.9,0.348067
1,0.606061,1,0.316896
1,0.606061,1.1,0.286355
1,0.616162,0.9,0.357962
1,0.616162,1,0.315415
1,0.616162,1.1,0.293003
1,0.626263,0.9,0.356224
1,0.626263,1,0.317963
1,0.626263,1.1,0.285922
1,0.636364,0.9,0.357199
1,0.636364,1,0.320077
1,0.636364,1.1,0.284528
1,0.646465,0.9,0.366102
1,0.646465,1,0.326053
1,0.646465,1.1,0.282519
1,0.656566,0.9,0.364168
1,0.656566,1,0.32495
1,0.656566,1.1,0.279432
1,0.666667,0.9,0.36331
1,0.666667,1,0.326725
1,0.666667,1.1,0.284369
1,0.676768,0.9,0.363003
1,0.676768,1,0.328599
1,0.676768,1.1,0.281864
1,0.686869,0.9,0.368437
1,0.686869,1,0.332727
1,0.686869,1.1,0.279625
1,0.69697,0.9,0.369473
1,0.69697,1,0.32958
1,0.69697,1.1,0.286889
1,0.707071,0.9,0.37374
1,0.707071,1,0.330357
1,0.707071,1.1,0.285599
1,0.717172,0.9,0.370941
1,0.717172,1,0.331004
1,0.717172,1.1,0.285313
1,0.727273,0.9,0.373347
1,0.727273,1,0.330595
1,0.727273,1.1,0.287877
1,0.737374,0.9,0.372893
1,0.737374,1,0.331215
1,0.737374,1.1,0.288763
1,0.747475,0.9,0.377842
1,0.747475,1,0.332127
1,0.747475,1.1,0.28978
1,0.757576,0.9,0.374617
1,0.757576,1,0.336015
1,0.757576,1.1,0.287769
1,0.767677,0.9,0.378099
1,0.767677,1,0.335788
1,0.767677,1.1,0.287035
1,0.777778,0.9,0.381228
1,0.777778,1,0.337249
1,0.777778,1.1,0.289574
1,0.787879,0.9,0.38106
1,0.787879,1,0.334835
1,0.787879,1.1,0.28999
1,0.79798,0.9,0.380987
1,0.79798,1,0.338689
1,0.79798,1.1,0.287411
1,0.808081,0.9,0.378189
1,0.808081,1,0.335054
1,0.808081,1.1,0.289398
1,0.818182,0.9,0.388561
1,0.818182,1,0.336379
1,0.818182,1.1,0.28992
1,0.828283,0.9,0.384696
1,0.828283,1,0.337291
1,0.828283,1.1,0.290121
1,0.838384,0.9,0.38619
1,0.838384,1,0.339978
1,0.838384,1.1,0.286447
1,0.848485,0.9,0.386659
1,0.848485,1,0.339472
1,0.848485,1.1,0.289063
1,0.858586,0.9,0.382884
1,0.858586,1,0.343796
1,0.858586,1.1,0.286179
1,0.868687,0.9,0.382186
1,0.868687,1,0.340391
1,0.868687,1.1,0.286286
1,0.878788,0.9,0.39162
1,0.878788,1,0.341569
1,0.878788,1.1,0.287797
1,0.888889,0.9,0.388877
1,0.888889,1,0.343487
1,0.888889,1.1,0.287569
1,0.89899,0.9,0.394039
1,0.89899,1,0.343303
