omega,gamma,theta_1,firm,profit
0,0.929293,1,2,0.0919116
0,0.929293,1.1,1,0.101273
0,0.929293,1.1,2,0.0694926
0,0.939394,0.9,1,0.149997
0,0.939394,0.9,2,0.110375
0,0.939394,1,1,0.12657
0,0.939394,1,2,0.0911017
0,0.939394,1.1,1,0.0985493
0,0.939394,1.1,2,0.0716339
0,0.949495,0.9,1,0.153347
0,0.949495,0.9,2,0.10601
0,0.949495,1,1,0.12616
0,0.949495,1,2,0.0900719
0,0.949495,1.1,1,0.0994022
0,0.949495,1.1,2,0.0693559
0,0.959596,0.9,1,0.155281
0,0.959596,0.9,2,0.102851
0,0.959596,1,1,0.126608
0,0.959596,1,2,0.0879571
0,0.959596,1.1,1,0.0980445
0,0.959596,1.1,2,0.0693739
0,0.969697,0.9,1,0.151911
0,0.969697,0.9,2,0.104477
0,0.969697,1,1,0.125175
0,0.969697,1,2,0.0904961
0,0.969697,1.1,1,0.0979375
0,0.969697,1.1,2,0.0683926
0,0.979798,0.9,1,0.151834
0,0.979798,0.9,2,0.104846
0,0.979798,1,1,0.125208
0,0.979798,1,2,0.0899154
0,0.979798,1.1,1,0.0971458
0,0.979798,1.1,2,0.0686577
0,0.989899,0.9,1,0.15101
0,0.989899,0.9,2,0.107363
0,0.989899,1,1,0.124809
0,0.989899,1,2,0.0877363
0,0.989899,1.1,1,0.0962204
0,0.989899,1.1,2,0.0672912
0,1,0.9,1,0.153886
0,1,0.9,2,0.102189
0,1,1,1,0.127341
0,1,1,2,0.0855208
0,1,1.1,1,0.0960942
0,1,1.1,2,0.0663753
0.8,0,0.9,1,0.0903102
0.8,0,0.9,2,0.12715
0.8,0,1,1,0.0890597
0.8,0,1,2,0.12783
0.8,0,1.1,1,0.0894488
0.8,0,1.1,2,0.127513
0.8,0.010101,0.9,1,0.0910681
0.8,0.010101,0.9,2,0.127856
0.8,0.010101,1,1,0.0898577
0.8,0.010101,1,2,0.129228
0.8,0.010101,1.1,1,0.0905817
0.8,0.010101,1.1,2,0.127131
0.8,0.020202,0.9,1,0.0905599
0.8,0.020202,0.9,2,0.129956
0.8,0.020202,1,1,0.0921502
0.8,0.020202,1,2,0.127967
0.8,0.020202,1.1,1,0.0896408
0.8,0.020202,1.1,2,0.128466
0.8,0.030303,0.9,1,0.093387
0.8,0.030303,0.9,2,0.128522
0.8,0.030303,1,1,0.0931238
0.8,0.030303,1,2,0.128144
0.8,0.030303,1.1,1,0.0912413
0.8,0.030303,1.1,2,0.126648
0.8,0.040404,0.9,1,0.0933108
0.8,0.040404,0.9,2,0.130292
0.8,0.040404,1,1,0.0930363
0.8,0.040404,1,2,0.128177
0.8,0.040404,1.1,1,0.0906797
0.8,0.040404,1.1,2,0.127055
0.8,0.0505051,0.9,1,0.0941339
0.8,0.0505051,0.9,2,0.130244
0.8,0.0505051,1,1,0.0924876
0.8,0.0505051,1,2,0.129276
0.8,0.0505051,1.1,1,0.0917883
0.8,0.0505051,1.1,2,0.125579
0.8,0.0606061,0.9,1,0.0954506
0.8,0.0606061,0.9,2,0.129953
0.8,0.0606061,1,1,0.0934807
0.8,0.0606061,1,2,0.12846
0.8,0.0606061,1.1,1,0.0904271
0.8,0.0606061,1.1,2,0.127863
0.8,0.0707071,0.9,1,0.0959415
0.8,0.0707071,0.9,2,0.131116
0.8,0.0707071,1,1,0.0953929
0.8,0.0707071,1,2,0.128199
0.8,0.0707071,1.1,1,0.0937172
0.8,0.0707071,1.1,2,0.125108
0.8,0.0808081,0.9,1,0.0979781
0.8,0.0808081,0.9,2,0.130783
0.8,0.0808081,1,1,0.0942874
0.8,0.0808081,1,2,0.129369
0.8,0.0808081,1.1,1,0.0933446
0.8,0.0808081,1.1,2,0.123427
0.8,0.0909091,0.9,1,0.0974477
0.8,0.0909091,0.9,2,0.134134
0.8,0.0909091,1,1,0.095798
0.8,0.0909091,1,2,0.129045
0.8,0.0909091,1.1,1,0.0930624
0.8,0.0909091,1.1,2,0.124547
0.8,0.10101,0.9,1,0.0982626
0.8,0.10101,0.9,2,0.133238
0.8,0.10101,1,1,0.0952785
0.8,0.10101,1,2,0.129327
0.8,0.10101,1.1,1,0.0937224
0.8,0.10101,1.1,2,0.124893
0.8,0.111111,0.9,1,0.0995629
0.8,0.111111,0.9,2,0.134293
0.8,0.111111,1,1,0.0969572
0.8,0.111111,1,2,0.128843
0.8,0.111111,1.1,1,0.0931262
0.8,0.111111,1.1,2,0.125626
0.8,0.121212,0.9,1,0.102021
0.8,0.121212,0.9,2,0.132326
0.8,0.121212,1,1,0.0990847
