omega,gamma,theta_1,t
0.8,0.383838,1.1,1.40393e+06
0.8,0.393939,0.9,1.38759e+06
0.8,0.393939,1,1.37991e+06
0.8,0.393939,1.1,1.41624e+06
0.8,0.40404,0.9,1.33002e+06
0.8,0.40404,1,1.37568e+06
0.8,0.40404,1.1,1.37837e+06
0.8,0.414141,0.9,1.35426e+06
0.8,0.414141,1,1.35522e+06
0.8,0.414141,1.1,1.40423e+06
0.8,0.424242,0.9,1.34169e+06
0.8,0.424242,1,1.35915e+06
0.8,0.424242,1.1,1.37163e+06
0.8,0.434343,0.9,1.31615e+06
0.8,0.434343,1,1.35168e+06
0.8,0.434343,1.1,1.39118e+06
0.8,0.444444,0.9,1.36795e+06
0.8,0.444444,1,1.35097e+06
0.8,0.444444,1.1,1.36515e+06
0.8,0.454545,0.9,1.35342e+06
0.8,0.454545,1,1.30574e+06
0.8,0.454545,1.1,1.33999e+06
0.8,0.464646,0.9,1.31731e+06
0.8,0.464646,1,1.30072e+06
0.8,0.464646,1.1,1.34822e+06
0.8,0.474747,0.9,1.35648e+06
0.8,0.474747,1,1.32118e+06
0.8,0.474747,1.1,1.32619e+06
0.8,0.484848,0.9,1.37428e+06
0.8,0.484848,1,1.33533e+06
0.8,0.484848,1.1,1.33692e+06
0.8,0.494949,0.9,1.41696e+06
0.8,0.494949,1,1.28718e+06
0.8,0.494949,1.1,1.30642e+06
0.8,0.505051,0.9,1.38614e+06
0.8,0.505051,1,1.31078e+06
0.8,0.505051,1.1,1.30185e+06
0.8,0.515152,0.9,1.39705e+06
0.8,0.515152,1,1.34159e+06
0.8,0.515152,1.1,1.28426e+06
0.8,0.525253,0.9,1.43604e+06
0.8,0.525253,1,1.30415e+06
0.8,0.525253,1.1,1.27531e+06
0.8,0.535354,0.9,1.47005e+06
0.8,0.535354,1,1.2953e+06
0.8,0.535354,1.1,1.27314e+06
0.8,0.545455,0.9,1.52648e+06
0.8,0.545455,1,1.30198e+06
0.8,0.545455,1.1,1.26754e+06
0.8,0.555556,0.9,1.55929e+06
0.8,0.555556,1,1.35773e+06
0.8,0.555556,1.1,1.28533e+06
0.8,0.565657,0.9,1.61629e+06
0.8,0.565657,1,1.32411e+06
0.8,0.565657,1.1,1.22933e+06
0.8,0.575758,0.9,1.60379e+06
0.8,0.575758,1,1.33917e+06
0.8,0.575758,1.1,1.24217e+06
0.8,0.585859,0.9,1.70538e+06
0.8,0.585859,1,1.32501e+06
0.8,0.585859,1.1,1.24222e+06
0.8,0.59596,0.9,1.64005e+06
0.8,0.59596,1,1.38204e+06
0.8,0.59596,1.1,1.26163e+06
