omega,gamma,theta_1,firm,price
0,0.808081,0.9,1,1.70326
0,0.808081,0.9,2,1.67915
0,0.808081,1,1,1.67306
0,0.808081,1,2,1.67793
0,0.808081,1.1,1,1.61801
0,0.808081,1.1,2,1.63974
0,0.818182,0.9,1,1.70682
0,0.818182,0.9,2,1.67197
0,0.818182,1,1,1.67052
0,0.818182,1,2,1.67068
0,0.818182,1.1,1,1.62877
0,0.818182,1.1,2,1.63625
0,0.828283,0.9,1,1.69417
0,0.828283,0.9,2,1.68847
0,0.828283,1,1,1.66778
0,0.828283,1,2,1.67886
0,0.828283,1.1,1,1.62828
0,0.828283,1.1,2,1.6546
0,0.838384,0.9,1,1.69978
0,0.838384,0.9,2,1.68178
0,0.838384,1,1,1.66641
0,0.838384,1,2,1.66738
0,0.838384,1.1,1,1.62572
0,0.838384,1.1,2,1.63874
0,0.848485,0.9,1,1.69098
0,0.848485,0.9,2,1.68285
0,0.848485,1,1,1.66054
0,0.848485,1,2,1.65912
0,0.848485,1.1,1,1.62325
0,0.848485,1.1,2,1.63878
0,0.858586,0.9,1,1.70614
0,0.858586,0.9,2,1.67821
0,0.858586,1,1,1.66513
0,0.858586,1,2,1.66269
0,0.858586,1.1,1,1.62003
0,0.858586,1.1,2,1.65269
0,0.868687,0.9,1,1.70058
0,0.868687,0.9,2,1.68036
0,0.868687,1,1,1.67523
0,0.868687,1,2,1.66272
0,0.868687,1.1,1,1.61585
0,0.868687,1.1,2,1.62675
0,0.878788,0.9,1,1.7078
0,0.878788,0.9,2,1.67318
0,0.878788,1,1,1.6844
0,0.878788,1,2,1.64428
0,0.878788,1.1,1,1.62273
0,0.878788,1.1,2,1.62212
0,0.888889,0.9,1,1.69973
0,0.888889,0.9,2,1.66976
0,0.888889,1,1,1.66098
0,0.888889,1,2,1.65036
0,0.888889,1.1,1,1.6219
0,0.888889,1.1,2,1.62556
0,0.89899,0.9,1,1.70669
0,0.89899,0.9,2,1.68838
0,0.89899,1,1,1.66868
0,0.89899,1,2,1.64124
0,0.89899,1.1,1,1.61893
0,0.89899,1.1,2,1.61451
0,0.909091,0.9,1,1.69967
0,0.909091,0.9,2,1.67259
0,0.909091,1,1,1.66296
0,0.909091,1,2,1.65078
0,0.909091,1.1,1,1.62485
0,0.909091,1.1,2,1.62186
0,0.919192,0.9,1,1.69866
0,0.919192,0.9,2,1.66356
0,0.919192,1,1,1.66824
0,0.919192,1,2,1.64189
0,0.919192,1.1,1,1.62211
0,0.919192,1.1,2,1.61708
0,0.929293,0.9,1,1.70137
0,0.929293,0.9,2,1.67289
0,0.929293,1,1,1.66855
0,0.929293,1,2,1.64396
0,0.929293,1.1,1,1.6162
0,0.929293,1.1,2,1.6035
0,0.939394,0.9,1,1.6991
0,0.939394,0.9,2,1.66193
0,0.939394,1,1,1.66461
0,0.939394,1,2,1.64948
0,0.939394,1.1,1,1.61306
0,0.939394,1.1,2,1.58478
0,0.949495,0.9,1,1.70675
0,0.949495,0.9,2,1.663
0,0.949495,1,1,1.65194
0,0.949495,1,2,1.6398
0,0.949495,1.1,1,1.61601
0,0.949495,1.1,2,1.60399
0,0.959596,0.9,1,1.70023
0,0.959596,0.9,2,1.65935
0,0.959596,1,1,1.67292
0,0.959596,1,2,1.64217
0,0.959596,1.1,1,1.61726
0,0.959596,1.1,2,1.58254
0,0.969697,0.9,1,1.68775
0,0.969697,0.9,2,1.65119
0,0.969697,1,1,1.659
0,0.969697,1,2,1.63056
0,0.969697,1.1,1,1.60379
0,0.969697,1.1,2,1.59702
0,0.979798,0.9,1,1.69963
0,0.979798,0.9,2,1.65773
0,0.979798,1,1,1.66192
0,0.979798,1,2,1.6308
0,0.979798,1.1,1,1.60216
0,0.979798,1.1,2,1.59705
0,0.989899,0.9,1,1.68865
0,0.989899,0.9,2,1.66447
0,0.989899,1,1,1.65333
0,0.989899,1,2,1.62979
0,0.989899,1.1,1,1.60619
0,0.989899,1.1,2,1.58129
0,1,0.9,1,1.6865
0,1,0.9,2,1.6474
0,1,1,1,1.65974
0,1,1,2,1.61919
0,1,1.1,1,1.61091
0,1,1.1,2,1.57736
0.8,0,0.9,1,1.63461
0.8,0,0.9,2,1.66681
0.8,0,1,1,1.63812
0.8,0,1,2,1.66308
0.8,0,1.1,1,1.63938
0.8,0,1.1,2,1.68035
0.8,0.010101,0.9,1,1.63372
0.8,0.010101,0.9,2,1.68012
0.8,0.010101,1,1,1.62618
0.8,0.010101,1,2,1.66778
0.8,0.010101,1.1,1,1.61804
0.8,0.010101,1.1,2,1.66228
0.8,0.020202,0.9,1,1.64821
0.8,0.020202,0.9,2,1.67233
0.8,0.020202,1,1,1.63532
0.8,0.020202,1,2,1.6785
0.8,0.020202,1.1,1,1.63505
0.8,0.020202,1.1,2,1.66074
0.8,0.030303,0.9,1,1.63528
0.8,0.030303,0.9,2,1.6671
0.8,0.030303,1,1,1.63177
0.8,0.030303,1,2,1.67339
0.8,0.030303,1.1,1,1.62293
0.8,0.030303,1.1,2,1.66424
0.8,0.040404,0.9,1,1.65391
0.8,0.040404,0.9,2,1.67919
0.8,0.040404,1,1,1.62011
0.8,0.040404,1,2,1.67727
0.8,0.040404,1.1,1,1.63462
0.8,0.040404,1.1,2,1.66052
0.8,0.0505051,0.9,1,1.64539
0.8,0.0505051,0.9,2,1.67397
0.8,0.0505051,1,1,1.6303
0.8,0.0505051,1,2,1.66734
0.8,0.0505051,1.1,1,1.62498
0.8,0.0505051,1.1,2,1.65861
0.8,0.0606061,0.9,1,1.65411
0.8,0.0606061,0.9,2,1.67672
0.8,0.0606061,1,1,1.62839
0.8,0.0606061,1,2,1.67277
0.8,0.0606061,1.1,1,1.61511
0.8,0.0606061,1.1,2,1.66089
0.8,0.0707071,0.9,1,1.66709
0.8,0.0707071,0.9,2,1.68661
0.8,0.0707071,1,1,1.64125
0.8,0.0707071,1,2,1.676
0.8,0.0707071,1.1,1,1.61103
0.8,0.0707071,1.1,2,1.67807
0.8,0.0808081,0.9,1,1.64112
0.8,0.0808081,0.9,2,1.68055
0.8,0.0808081,1,1,1.64608
0.8,0.0808081,1,2,1.67287
0.8,0.0808081,1.1,1,1.62444
0.8,0.0808081,1.1,2,1.66689
0.8,0.0909091,0.9,1,1.65637
0.8,0.0909091,0.9,2,1.68495
0.8,0.0909091,1,1,1.64699
0.8,0.0909091,1,2,1.6774
0.8,0.0909091,1.1,1,1.64453
0.8,0.0909091,1.1,2,1.67083
0.8,0.10101,0.9,1,1.663
0.8,0.10101,0.9,2,1.68788
0.8,0.10101,1,1,1.64284
0.8,0.10101,1,2,1.6728
0.8,0.10101,1.1,1,1.62184
0.8,0.10101,1.1,2,1.67094
0.8,0.111111,0.9,1,1.67371
