omega,alpha,beta,firm,profit
0,0.0581081,5.94595e-06,2,0.129506
0,0.0581081,6.08108e-06,1,0.129093
0,0.0581081,6.08108e-06,2,0.130552
0,0.0581081,6.21622e-06,1,0.128907
0,0.0581081,6.21622e-06,2,0.128339
0,0.0581081,6.35135e-06,1,0.129577
0,0.0581081,6.35135e-06,2,0.129465
0,0.0581081,6.48649e-06,1,0.129761
0,0.0581081,6.48649e-06,2,0.129573
0,0.0581081,6.62162e-06,1,0.129968
0,0.0581081,6.62162e-06,2,0.129821
0,0.0581081,6.75676e-06,1,0.129379
0,0.0581081,6.75676e-06,2,0.12984
0,0.0581081,6.89189e-06,1,0.129742
0,0.0581081,6.89189e-06,2,0.128947
0,0.0581081,7.02703e-06,1,0.130398
0,0.0581081,7.02703e-06,2,0.130048
0,0.0581081,7.16216e-06,1,0.130089
0,0.0581081,7.16216e-06,2,0.130217
0,0.0581081,7.2973e-06,1,0.129658
0,0.0581081,7.2973e-06,2,0.130133
0,0.0581081,7.43243e-06,1,0.129767
0,0.0581081,7.43243e-06,2,0.130756
0,0.0581081,7.56757e-06,1,0.131448
0,0.0581081,7.56757e-06,2,0.13039
0,0.0581081,7.7027e-06,1,0.131172
0,0.0581081,7.7027e-06,2,0.130938
0,0.0581081,7.83784e-06,1,0.130634
0,0.0581081,7.83784e-06,2,0.130349
0,0.0581081,7.97297e-06,1,0.129688
0,0.0581081,7.97297e-06,2,0.130417
0,0.0581081,8.10811e-06,1,0.131303
0,0.0581081,8.10811e-06,2,0.130213
0,0.0581081,8.24324e-06,1,0.131171
0,0.0581081,8.24324e-06,2,0.129727
0,0.0581081,8.37838e-06,1,0.131818
0,0.0581081,8.37838e-06,2,0.129874
0,0.0581081,8.51351e-06,1,0.130846
0,0.0581081,8.51351e-06,2,0.130669
0,0.0581081,8.64865e-06,1,0.131288
0,0.0581081,8.64865e-06,2,0.132065
0,0.0581081,8.78378e-06,1,0.13138
0,0.0581081,8.78378e-06,2,0.131681
0,0.0581081,8.91892e-06,1,0.131226
0,0.0581081,8.91892e-06,2,0.131201
0,0.0581081,9.05405e-06,1,0.13125
0,0.0581081,9.05405e-06,2,0.1317
0,0.0581081,9.18919e-06,1,0.131163
0,0.0581081,9.18919e-06,2,0.131243
0,0.0581081,9.32432e-06,1,0.131415
0,0.0581081,9.32432e-06,2,0.131514
0,0.0581081,9.45946e-06,1,0.131314
0,0.0581081,9.45946e-06,2,0.130929
0,0.0581081,9.59459e-06,1,0.131663
0,0.0581081,9.59459e-06,2,0.131696
0,0.0581081,9.72973e-06,1,0.13085
0,0.0581081,9.72973e-06,2,0.132336
0,0.0581081,9.86486e-06,1,0.13194
0,0.0581081,9.86486e-06,2,0.131784
0,0.0581081,1e-05,1,0.132008
0,0.0581081,1e-05,2,0.131684
0,0.0581081,1.01351e-05,1,0.131899
0,0.0581081,1.01351e-05,2,0.130697
0,0.0581081,1.02703e-05,1,0.131809
0,0.0581081,1.02703e-05,2,0.13112
0,0.0581081,1.04054e-05,1,0.131652
0,0.0581081,1.04054e-05,2,0.131534
0,0.0581081,1.05405e-05,1,0.131447
0,0.0581081,1.05405e-05,2,0.132063
0,0.0581081,1.06757e-05,1,0.132903
0,0.0581081,1.06757e-05,2,0.131463
0,0.0581081,1.08108e-05,1,0.132775
0,0.0581081,1.08108e-05,2,0.131413
0,0.0581081,1.09459e-05,1,0.13147
0,0.0581081,1.09459e-05,2,0.131223
0,0.0581081,1.10811e-05,1,0.132644
0,0.0581081,1.10811e-05,2,0.131823
0,0.0581081,1.12162e-05,1,0.131971
0,0.0581081,1.12162e-05,2,0.132605
0,0.0581081,1.13514e-05,1,0.131993
0,0.0581081,1.13514e-05,2,0.132211
0,0.0581081,1.14865e-05,1,0.132873
0,0.0581081,1.14865e-05,2,0.131839
0,0.0581081,1.16216e-05,1,0.130927
0,0.0581081,1.16216e-05,2,0.131929
0,0.0581081,1.17568e-05,1,0.132527
0,0.0581081,1.17568e-05,2,0.131922
0,0.0581081,1.18919e-05,1,0.132376
0,0.0581081,1.18919e-05,2,0.133351
0,0.0581081,1.2027e-05,1,0.132791
0,0.0581081,1.2027e-05,2,0.132217
0,0.0581081,1.21622e-05,1,0.132961
0,0.0581081,1.21622e-05,2,0.131822
0,0.0581081,1.22973e-05,1,0.132669
0,0.0581081,1.22973e-05,2,0.131173
0,0.0581081,1.24324e-05,1,0.13311
0,0.0581081,1.24324e-05,2,0.132419
0,0.0581081,1.25676e-05,1,0.132496
0,0.0581081,1.25676e-05,2,0.133589
0,0.0581081,1.27027e-05,1,0.131487
0,0.0581081,1.27027e-05,2,0.132456
0,0.0581081,1.28378e-05,1,0.131604
0,0.0581081,1.28378e-05,2,0.131398
0,0.0581081,1.2973e-05,1,0.13337
0,0.0581081,1.2973e-05,2,0.132762
0,0.0581081,1.31081e-05,1,0.133148
0,0.0581081,1.31081e-05,2,0.132454
0,0.0581081,1.32432e-05,1,0.13295
0,0.0581081,1.32432e-05,2,0.132984
0,0.0581081,1.33784e-05,1,0.132409
0,0.0581081,1.33784e-05,2,0.132886
0,0.0581081,1.35135e-05,1,0.132272
0,0.0581081,1.35135e-05,2,0.132619
0,0.0581081,1.36486e-05,1,0.132006
0,0.0581081,1.36486e-05,2,0.131878
0,0.0581081,1.37838e-05,1,0.132665
0,0.0581081,1.37838e-05,2,0.132136
0,0.0581081,1.39189e-05,1,0.133451
0,0.0581081,1.39189e-05,2,0.133388
0,0.0581081,1.40541e-05,1,0.133111
0,0.0581081,1.40541e-05,2,0.132786
0,0.0581081,1.41892e-05,1,0.132021
0,0.0581081,1.41892e-05,2,0.132325
0,0.0581081,1.43243e-05,1,0.132874
0,0.0581081,1.43243e-05,2,0.132748
0,0.0581081,1.44595e-05,1,0.133308
0,0.0581081,1.44595e-05,2,0.131931
0,0.0581081,1.45946e-05,1,0.132133
0,0.0581081,1.45946e-05,2,0.132264
0,0.0581081,1.47297e-05,1,0.133079
0,0.0581081,1.47297e-05,2,0.132962
0,0.0581081,1.48649e-05,1,0.13332
0,0.0581081,1.48649e-05,2,0.132691
0,0.0581081,1.5e-05,1,0.132882
0,0.0581081,1.5e-05,2,0.132516
0,0.0608108,5e-06,1,0.127974
0,0.0608108,5e-06,2,0.128632
0,0.0608108,5.13514e-06,1,0.12878
0,0.0608108,5.13514e-06,2,0.129261
0,0.0608108,5.27027e-06,1,0.129567
0,0.0608108,5.27027e-06,2,0.128136
0,0.0608108,5.40541e-06,1,0.128854
0,0.0608108,5.40541e-06,2,0.127171
0,0.0608108,5.54054e-06,1,0.128683
0,0.0608108,5.54054e-06,2,0.128154
0,0.0608108,5.67568e-06,1,0.128774
0,0.0608108,5.67568e-06,2,0.128651
0,0.0608108,5.81081e-06,1,0.129273
0,0.0608108,5.81081e-06,2,0.128186
0,0.0608108,5.94595e-06,1,0.129411
0,0.0608108,5.94595e-06,2,0.128633
0,0.0608108,6.08108e-06,1,0.130377
0,0.0608108,6.08108e-06,2,0.12963
0,0.0608108,6.21622e-06,1,0.128611
0,0.0608108,6.21622e-06,2,0.12929
0,0.0608108,6.35135e-06,1,0.129258
