omega,alpha,beta,action,Count
0,0.05,1.43243e-05,1,0.0646206
0,0.05,1.43243e-05,2,0.850713
0,0.05,1.43243e-05,3,0.0189637
0,0.05,1.43243e-05,4,0.0657026
0,0.05,1.44595e-05,1,0.082904
0,0.05,1.44595e-05,2,0.790975
0,0.05,1.44595e-05,3,0.0417465
0,0.05,1.44595e-05,4,0.0843744
0,0.05,1.45946e-05,1,0.0760657
0,0.05,1.45946e-05,2,0.831058
0,0.05,1.45946e-05,3,0.0171345
0,0.05,1.45946e-05,4,0.0757417
0,0.05,1.47297e-05,1,0.0747161
0,0.05,1.47297e-05,2,0.818045
0,0.05,1.47297e-05,3,0.0323499
0,0.05,1.47297e-05,4,0.0748892
0,0.05,1.48649e-05,1,0.0818336
0,0.05,1.48649e-05,2,0.81328
0,0.05,1.48649e-05,3,0.0230356
0,0.05,1.48649e-05,4,0.0818509
0,0.05,1.5e-05,1,0.0995061
0,0.05,1.5e-05,2,0.78878
0,0.05,1.5e-05,3,0.0113861
0,0.05,1.5e-05,4,0.100328
0,0.0527027,5e-06,1,0.128948
0,0.0527027,5e-06,2,0.727403
0,0.0527027,5e-06,3,0.0166871
0,0.0527027,5e-06,4,0.126961
0,0.0527027,5.13514e-06,1,0.12862
0,0.0527027,5.13514e-06,2,0.71134
0,0.0527027,5.13514e-06,3,0.0304327
0,0.0527027,5.13514e-06,4,0.129608
0,0.0527027,5.27027e-06,1,0.146384
0,0.0527027,5.27027e-06,2,0.686748
0,0.0527027,5.27027e-06,3,0.0237349
0,0.0527027,5.27027e-06,4,0.143133
0,0.0527027,5.40541e-06,1,0.102871
0,0.0527027,5.40541e-06,2,0.767801
0,0.0527027,5.40541e-06,3,0.0251981
0,0.0527027,5.40541e-06,4,0.104129
0,0.0527027,5.54054e-06,1,0.137524
0,0.0527027,5.54054e-06,2,0.709876
0,0.0527027,5.54054e-06,3,0.0155129
0,0.0527027,5.54054e-06,4,0.137087
0,0.0527027,5.67568e-06,1,0.117339
0,0.0527027,5.67568e-06,2,0.757843
0,0.0527027,5.67568e-06,3,0.0099488
0,0.0527027,5.67568e-06,4,0.11487
0,0.0527027,5.81081e-06,1,0.141488
0,0.0527027,5.81081e-06,2,0.692721
0,0.0527027,5.81081e-06,3,0.0251278
0,0.0527027,5.81081e-06,4,0.140663
0,0.0527027,5.94595e-06,1,0.121575
0,0.0527027,5.94595e-06,2,0.734038
0,0.0527027,5.94595e-06,3,0.0233847
0,0.0527027,5.94595e-06,4,0.121003
0,0.0527027,6.08108e-06,1,0.107158
0,0.0527027,6.08108e-06,2,0.766952
0,0.0527027,6.08108e-06,3,0.0199686
0,0.0527027,6.08108e-06,4,0.105922
0,0.0527027,6.21622e-06,1,0.143454
0,0.0527027,6.21622e-06,2,0.701563
0,0.0527027,6.21622e-06,3,0.0153486
0,0.0527027,6.21622e-06,4,0.139635
0,0.0527027,6.35135e-06,1,0.125253
0,0.0527027,6.35135e-06,2,0.724978
0,0.0527027,6.35135e-06,3,0.0228337
0,0.0527027,6.35135e-06,4,0.126935
0,0.0527027,6.48649e-06,1,0.0953673
0,0.0527027,6.48649e-06,2,0.795284
0,0.0527027,6.48649e-06,3,0.0125702
0,0.0527027,6.48649e-06,4,0.0967781
0,0.0527027,6.62162e-06,1,0.10516
0,0.0527027,6.62162e-06,2,0.765071
0,0.0527027,6.62162e-06,3,0.0246166
0,0.0527027,6.62162e-06,4,0.105153
0,0.0527027,6.75676e-06,1,0.0995001
0,0.0527027,6.75676e-06,2,0.777396
0,0.0527027,6.75676e-06,3,0.0224689
0,0.0527027,6.75676e-06,4,0.100635
0,0.0527027,6.89189e-06,1,0.109422
0,0.0527027,6.89189e-06,2,0.768028
0,0.0527027,6.89189e-06,3,0.0151758
0,0.0527027,6.89189e-06,4,0.107375
0,0.0527027,7.02703e-06,1,0.120069
0,0.0527027,7.02703e-06,2,0.747995
0,0.0527027,7.02703e-06,3,0.0118902
0,0.0527027,7.02703e-06,4,0.120046
0,0.0527027,7.16216e-06,1,0.0997818
0,0.0527027,7.16216e-06,2,0.76768
0,0.0527027,7.16216e-06,3,0.0327762
0,0.0527027,7.16216e-06,4,0.0997615
0,0.0527027,7.2973e-06,1,0.0851351
0,0.0527027,7.2973e-06,2,0.809889
0,0.0527027,7.2973e-06,3,0.0197629
0,0.0527027,7.2973e-06,4,0.0852132
0,0.0527027,7.43243e-06,1,0.109994
0,0.0527027,7.43243e-06,2,0.763196
0,0.0527027,7.43243e-06,3,0.016839
0,0.0527027,7.43243e-06,4,0.109972
0,0.0527027,7.56757e-06,1,0.0932692
0,0.0527027,7.56757e-06,2,0.793882
0,0.0527027,7.56757e-06,3,0.0195511
0,0.0527027,7.56757e-06,4,0.0932973
0,0.0527027,7.7027e-06,1,0.136137
0,0.0527027,7.7027e-06,2,0.717199
0,0.0527027,7.7027e-06,3,0.013071
0,0.0527027,7.7027e-06,4,0.133593
0,0.0527027,7.83784e-06,1,0.0925211
0,0.0527027,7.83784e-06,2,0.805986
0,0.0527027,7.83784e-06,3,0.0089633
0,0.0527027,7.83784e-06,4,0.0925291
0,0.0527027,7.97297e-06,1,0.0876563
0,0.0527027,7.97297e-06,2,0.800403
0,0.0527027,7.97297e-06,3,0.0242532
0,0.0527027,7.97297e-06,4,0.0876876
0,0.0527027,8.10811e-06,1,0.121696
0,0.0527027,8.10811e-06,2,0.740167
0,0.0527027,8.10811e-06,3,0.0164264
0,0.0527027,8.10811e-06,4,0.121711
0,0.0527027,8.24324e-06,1,0.0959176
0,0.0527027,8.24324e-06,2,0.784441
0,0.0527027,8.24324e-06,3,0.0237929
0,0.0527027,8.24324e-06,4,0.0958489
0,0.0527027,8.37838e-06,1,0.126532
0,0.0527027,8.37838e-06,2,0.717751
0,0.0527027,8.37838e-06,3,0.0271706
0,0.0527027,8.37838e-06,4,0.128546
0,0.0527027,8.51351e-06,1,0.112939
